Fecha,Día,Local,Resultado,Visitante,Año,Tipo de Torneo,Estadio
Fecha 18,7 de noviembre,Unión Magdalena,1  -  1,Cali,2004,Finalización,
Fecha 18,7 de noviembre,Millonarios,1  -  2,Bucaramanga,2004,Finalización,
Fecha 18,7 de noviembre,Tolima,0  -  1,Cortuluá,2004,Finalización,
Fecha 18,7 de noviembre,Pereira,1  -  1,Medellín,2004,Finalización,
Fecha 18,7 de noviembre,Pasto,3  -  2,Huila,2004,Finalización,
Fecha 18,7 de noviembre,Nacional,2  -  0,Once Caldas,2004,Finalización,
Fecha 18,7 de noviembre,Bogotá Chicó,2  -  2,Santa Fe,2004,Finalización,
Fecha 18,7 de noviembre,Deportes Quindío,1  -  1,Junior,2004,Finalización,
Fecha 18,16 de mayo,Envigado F. C.,0  -  1,América,2004,Apertura,
Fecha 18,16 de mayo,Cali,1  -  0,Unión Magdalena,2004,Apertura,
Fecha 18,16 de mayo,Bucaramanga,1  -  2,Millonarios,2004,Apertura,
Fecha 18,16 de mayo,Cortuluá,1  -  3,Tolima,2004,Apertura,
Fecha 18,16 de mayo,Medellín,1  -  0,Pereira,2004,Apertura,
Fecha 18,16 de mayo,Huila,0  -  1,Pasto,2004,Apertura,
Fecha 18,16 de mayo,Once Caldas,2  -  3,Nacional,2004,Apertura,
Fecha 18,16 de mayo,Santa Fe,1  -  2,Bogotá Chicó,2004,Apertura,
Fecha 18,16 de mayo,Junior,2  -  0,Deportes Quindío,2004,Apertura,
Fecha 2,6 de agosto,América,3  -  0,Cali,2004,Finalización,
Fecha 2,7 de agosto,Envigado F. C.,0  -  1,Bucaramanga,2004,Finalización,
Fecha 2,7 de agosto,Millonarios,(1 - 1) 0  -  3[1]​,Medellín,2004,Finalización,
Fecha 2,7 de agosto,Unión Magdalena,1  -  0,Cortuluá,2004,Finalización,
Fecha 2,7 de agosto,Tolima,1  -  0,Once Caldas,2004,Finalización,
Fecha 2,7 de agosto,Pereira,0  -  0,Huila,2004,Finalización,
Fecha 2,7 de agosto,Nacional,0  -  1,Santa Fe,2004,Finalización,
Fecha 2,7 de agosto,Pasto,1  -  1,Junior,2004,Finalización,
Fecha 2,7 de agosto,Bogotá Chicó,2  -  2,Deportes Quindío,2004,Finalización,
Fecha 2,14 de febrero,Santa Fe,1  -  1,Nacional,2004,Apertura,
Fecha 2,7 de febrero,Medellín,1  -  0,Millonarios,2004,Apertura,
Fecha 2,7 de febrero,Cali,3  -  1,América,2004,Apertura,
Fecha 2,7 de febrero,Bucaramanga,2  -  2,Envigado F. C.,2004,Apertura,
Fecha 2,7 de febrero,Once Caldas,1  -  0,Tolima,2004,Apertura,
Fecha 2,7 de febrero,Huila,0  -  1,Pereira,2004,Apertura,
Fecha 2,7 de febrero,Cortuluá,3  -  1,Unión Magdalena,2004,Apertura,
Fecha 2,7 de febrero,Deportes Quindío,1  -  2,Bogotá Chicó,2004,Apertura,
Fecha 2,7 de febrero,Junior,2  -  0,Pasto,2004,Apertura,
Fecha 3,11-08,Once Caldas,4  -  0,Millonarios,2004,Finalización,
Fecha 3,11-08,Cortuluá,0  -  3,Envigado F. C.,2004,Finalización,
Fecha 3,11-08,Deportes Quindío,1  -  0,Deportivo Pasto,2004,Finalización,
Fecha 3,11 de agosto,Junior,2  -  0,Nacional,2004,Finalización,
Fecha 3,11 de agosto,Bucaramanga,2  -  1,Cali,2004,Finalización,
Fecha 3,11 de agosto,Medellín,5  -  1,Unión Magdalena,2004,Finalización,
Fecha 3,11 de agosto,Huila,1  -  4,Tolima,2004,Finalización,
Fecha 3,11 de agosto,Santa Fe,2  -  0,Pereira,2004,Finalización,
Fecha 3,11 de agosto,América,3  -  1,Bogotá Chicó,2004,Finalización,
Fecha 3,19 de febrero,Bogotá Chicó,1  -  2,América,2004,Apertura,
Fecha 3,20 de febrero,Tolima,0  -  2,Huila,2004,Apertura,
Fecha 3,21 de febrero,Cali,2  -  0,Bucaramanga,2004,Apertura,
Fecha 3,22 de febrero,Unión Magdalena,0  -  1,Medellín,2004,Apertura,
Fecha 3,22 de febrero,Pasto,2  -  1,Deportes Quindío,2004,Apertura,
Fecha 3,22 de febrero,Pereira,2  -  1,Santa Fe,2004,Apertura,
Fecha 3,22 de febrero,Envigado,4  -  3,Cortuluá,2004,Apertura,
Fecha 3,22 de febrero,Millonarios,0  -  1,Once Caldas,2004,Apertura,
Fecha 3,22 de febrero,Nacional,2  -  1,Junior,2004,Apertura,
Fecha 4,15 de agosto,Unión Magdalena,1  -  2,Once Caldas,2004,Finalización,
Fecha 4,15 de agosto,Cali,0  -  0,Cortuluá,2004,Finalización,
Fecha 4,15 de agosto,Envigado F. C.,1  -  1,Medellín,2004,Finalización,
Fecha 4,15 de agosto,Millonarios,0  -  3,Huila,2004,Finalización,
Fecha 4,15 de agosto,Pereira,0  -  0,Junior,2004,Finalización,
Fecha 4,15 de agosto,Nacional,2  -  2,Deportes Quindío,2004,Finalización,
Fecha 4,15 de agosto,Pasto,0  -  0,Bogotá Chicó,2004,Finalización,
Fecha 4,15 de agosto,Tolima,2  -  1,Santa Fe,2004,Finalización,
Fecha 4,15 de agosto,Bucaramanga,0  -  1,América,2004,Finalización,
Fecha 4,25 de febrero,América,2  -  1,Bucaramanga,2004,Apertura,
Fecha 4,26 de febrero,Medellín,2  -  2,Envigado F. C.,2004,Apertura,
Fecha 4,26 de febrero,Huila,3  -  0,Millonarios,2004,Apertura,
Fecha 4,26 de febrero,Cortuluá,1  -  0,Cali,2004,Apertura,
Fecha 4,26 de febrero,Bogotá Chicó,1  -  1,Pasto,2004,Apertura,
Fecha 4,26 de febrero,Deportes Quindío,1  -  2,Nacional,2004,Apertura,
Fecha 4,26 de febrero,Santa Fe,1  -  1,Tolima,2004,Apertura,
Fecha 4,26 de febrero,Once Caldas,2  -  0,Unión Magdalena,2004,Apertura,
Fecha 4,26 de febrero,Junior,0  -  0,Pereira,2004,Apertura,
Fecha 5,22 de agosto,Bogotá Chicó,1  -  2,Nacional,2004,Finalización,
Fecha 5,22 de agosto,Medellín,2  -  0,Cali,2004,Finalización,
Fecha 5,22 de agosto,Deportes Quindío,3  -  0,Pereira,2004,Finalización,
Fecha 5,22 de agosto,Junior,1  -  2,Tolima,2004,Finalización,
Fecha 5,22 de agosto,Huila,2  -  0,Unión Magdalena,2004,Finalización,
Fecha 5,22 de agosto,Once Caldas,2  -  2,Envigado F. C.,2004,Finalización,
Fecha 5,22 de agosto,Cortuluá,1  -  2,Bucaramanga,2004,Finalización,
Fecha 5,22 de agosto,Santa Fe,4  -  1,Millonarios,2004,Finalización,
Fecha 5,22 de agosto,América,0  -  0,Pasto,2004,Finalización,
Fecha 5,28 de febrero,Cali,3  -  1,Medellín,2004,Apertura,
Fecha 5,29 de febrero,Millonarios,1  -  1,Santa Fe,2004,Apertura,
Fecha 5,29 de febrero,Pasto,1  -  0,América,2004,Apertura,
Fecha 5,29 de febrero,Pereira,1  -  1,Deportes Quindío,2004,Apertura,
Fecha 5,29 de febrero,Tolima,1  -  1,Junior,2004,Apertura,
Fecha 5,29 de febrero,Unión Magdalena,1  -  1,Huila,2004,Apertura,
Fecha 5,29 de febrero,Bucaramanga,3  -  3,Cortuluá,2004,Apertura,
Fecha 5,29 de febrero,Envigado F. C.,0  -  1,Once Caldas,2004,Apertura,
Fecha 5,29 de febrero,Nacional,2  -  1,Bogotá Chicó,2004,Apertura,
Fecha 6,29 de agosto,Cortuluá,1  -  2,América,2004,Finalización,
Fecha 6,29 de agosto,Bucaramanga,0  -  0,Medellín,2004,Finalización,
Fecha 6,29 de agosto,Cali,2  -  0,Once Caldas,2004,Finalización,
Fecha 6,29 de agosto,Envigado F. C.,2  -  1,Huila,2004,Finalización,
Fecha 6,29 de agosto,Unión Magdalena,0  -  1,Santa Fe,2004,Finalización,
Fecha 6,29 de agosto,Millonarios,0  -  1,Junior,2004,Finalización,
Fecha 6,29 de agosto,Tolima,3  -  0,Deportes Quindío,2004,Finalización,
Fecha 6,29 de agosto,Pereira,0  -  1,Bogotá Chicó,2004,Finalización,
Fecha 6,29 de agosto,Nacional,1  -  0,Pasto,2004,Finalización,
Fecha 6,7 de marzo,América,3  -  2,Cortuluá,2004,Apertura,
Fecha 6,7 de marzo,Medellín,1  -  1,Bucaramanga,2004,Apertura,
Fecha 6,7 de marzo,Huila,1  -  1,Envigado F. C.,2004,Apertura,
Fecha 6,7 de marzo,Santa Fe,2  -  1,Unión Magdalena,2004,Apertura,
Fecha 6,7 de marzo,Junior,2  -  1,Millonarios,2004,Apertura,
Fecha 6,7 de marzo,Deportes Quindío,0  -  1,Tolima,2004,Apertura,
Fecha 6,7 de marzo,Bogotá Chicó,1  -  1,Pereira,2004,Apertura,
Fecha 6,7 de marzo,Pasto,2  -  0,Nacional,2004,Apertura,
Fecha 6,7 de marzo,Once Caldas,2  -  0,Cali,2004,Apertura,
Fecha 7,8 de septiembre,Deportes Quindío,2  -  1,Millonarios,2004,Finalización,
Fecha 7,8 de septiembre,Junior,3  -  0,Unión Magdalena,2004,Finalización,
Fecha 7,8 de septiembre,América,4  -  1,Nacional,2004,Finalización,
Fecha 7,8 de septiembre,Pasto,1  -  0,Pereira,2004,Finalización,
Fecha 7,8 de septiembre,Bogotá Chicó,1  -  1,Tolima,2004,Finalización,
Fecha 7,8 de septiembre,Santa Fe,2  -  1,Envigado F. C.,2004,Finalización,
Fecha 7,8 de septiembre,Huila,2  -  2,Cali,2004,Finalización,
Fecha 7,8 de septiembre,Once Caldas,3  -  1,Bucaramanga,2004,Finalización,
Fecha 7,8 de septiembre,Medellín,3  -  0,Cortuluá,2004,Finalización,
Fecha 7,11 de marzo,Nacional,0  -  1,América,2004,Apertura,
Fecha 7,11 de marzo,Cali,2  -  1,Huila,2004,Apertura,
Fecha 7,11 de marzo,Pereira,2  -  0,Pasto,2004,Apertura,
Fecha 7,11 de marzo,Millonarios,0  -  0,Deportes Quindío,2004,Apertura,
Fecha 7,11 de marzo,Unión Magdalena,0  -  0,Junior,2004,Apertura,
Fecha 7,11 de marzo,Envigado F. C.,1  -  1,Santa Fe,2004,Apertura,
Fecha 7,11 de marzo,Cortuluá,3  -  1,Medellín,2004,Apertura,
Fecha 7,11 de marzo,Bucaramanga,0  -  2,Once Caldas,2004,Apertura,
Fecha 7,11 de marzo,Tolima,0  -  0,Bogotá Chicó,2004,Apertura,
Fecha 8,12-09,Medellín,1  -  0,América,2004,Finalización,
Fecha 8,12 de septiembre,Cortuluá,1  -  1,Once Caldas,2004,Finalización,
Fecha 8,12 de septiembre,Bucaramanga,3  -  1,Huila,2004,Finalización,
Fecha 8,12 de septiembre,Cali,1  -  0,Santa Fe,2004,Finalización,
Fecha 8,12 de septiembre,Envigado F. C.,2  -  2,Junior,2004,Finalización,
Fecha 8,12 de septiembre,Unión Magdalena,2  -  0,Deportes Quindío,2004,Finalización,
Fecha 8,12 de septiembre,Millonarios,2  -  2,Bogotá Chicó,2004,Finalización,
Fecha 8,12 de septiembre,Tolima,0  -  0,Pasto,2004,Finalización,
Fecha 8,12 de septiembre,Pereira,1  -  4,Nacional,2004,Finalización,
Fecha 8,13 de marzo,América,0  -  0,Medellín,2004,Apertura,
Fecha 8,14 de marzo,Bogotá Chicó,2  -  4,Millonarios,2004,Apertura,
Fecha 8,14 de marzo,Huila,3  -  1,Bucaramanga,2004,Apertura,
Fecha 8,14 de marzo,Junior,2  -  0,Envigado F. C.,2004,Apertura,
Fecha 8,14 de marzo,Pasto,1  -  0,Tolima,2004,Apertura,
Fecha 8,14 de marzo,Santa Fe,0  -  0,Cali,2004,Apertura,
Fecha 8,14 de marzo,Deportes Quindío,1  -  1,Unión Magdalena,2004,Apertura,
Fecha 8,14 de marzo,Nacional,2  -  0,Pereira,2004,Apertura,
Fecha 8,14 de marzo,Once Caldas,2  -  1,Cortuluá,2004,Apertura,
Fecha 9,15-09,Bogotá Chicó,0  -  2,Bucaramanga,2004,Finalización,
Fecha 9,15-09,Pasto,1  -  0,Cortuluá,2004,Finalización,
Fecha 9,15 de septiembre,Nacional,2  -  1,Medellín,2004,Finalización,
Fecha 9,15 de septiembre,Pereira,0  -  2,Once Caldas,2004,Finalización,
Fecha 9,15 de septiembre,Tolima,3  -  2,Huila,2004,Finalización,
Fecha 9,15 de septiembre,Millonarios,1  -  1,Santa Fe,2004,Finalización,
Fecha 9,15 de septiembre,Unión Magdalena,1  -  2,Junior,2004,Finalización,
Fecha 9,15 de septiembre,Envigado F. C.,3  -  0,Deportes Quindío,2004,Finalización,
Fecha 9,15 de septiembre,Cali,0  -  1,América,2004,Finalización,
Fecha 9,19 de marzo,América,3  -  1,Cali,2004,Apertura,
Fecha 9,20 de marzo,Medellín,0  -  2,Nacional,2004,Apertura,
Fecha 9,21 de marzo,Santa Fe,1  -  1,Millonarios,2004,Apertura,
Fecha 9,21 de marzo,Bucaramanga,2  -  1,Bogotá Chicó,2004,Apertura,
Fecha 9,21 de marzo,Once Caldas,0  -  1,Pereira,2004,Apertura,
Fecha 9,21 de marzo,Huila,2  -  2,Tolima,2004,Apertura,
Fecha 9,21 de marzo,Junior,2  -  1,Unión Magdalena,2004,Apertura,
Fecha 9,21 de marzo,Deportes Quindío,1  -  1,Envigado F. C.,2004,Apertura,
Fecha 9,21 de marzo,Cortuluá,1  -  0,Pasto,2004,Apertura,
Fecha 1,12 de febrero,Envigado,4  -  1,Millonarios,2005,Apertura,
Fecha 1,13 de febrero,Deportivo Cali,0  -  1,Medellín,2005,Apertura,
Fecha 1,13 de febrero,Atlético Nacional,2  -  1,América de Cali,2005,Apertura,
Fecha 1,13 de febrero,Tolima,1  -  1,Pasto,2005,Apertura,
Fecha 1,13 de febrero,Santa Fe,3  -  1,Quindío,2005,Apertura,
Fecha 1,13 de febrero,Once Caldas,1  -  0,Cartagena,2005,Apertura,
Fecha 1,13 de febrero,Boyacá Chicó,1  -  0,Huila,2005,Apertura,
Fecha 1,13 de febrero,Bucaramanga,0  -  1[5]​,Pereira,2005,Apertura,
Fecha 1,13 de febrero,Magdalena,1  -  0[6]​,Junior,2005,Apertura,
Fecha 1,10 de julio,Pasto,2  -  1,Tolima,2005,Finalización,
Fecha 1,10 de julio,Quindío,0  -  0,Santa Fe,2005,Finalización,
Fecha 1,10 de julio,Real Cartagena,3  -  0,Once Caldas,2005,Finalización,
Fecha 1,10 de julio,América de Cali,1  -  0,Atlético Nacional,2005,Finalización,
